station_id,blue (sr-1),green (sr-1),red (sr-1),nir (sr-1),id,organization,region,local,lat,long,date,chla (mgm-3),tss (mgL-1),secchi (m),acdom440 (m-1),local_year_month
AGID_1011,0.018962177,0.039596237,0.045386719,0.012180901,AGID_1011,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.51242,117.436,26/08/09,5.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1012,0.017344436,0.036487687,0.042886445,0.014129062,AGID_1012,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.44678,117.52,26/08/09,11.9,82,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1013,0.018452062,0.038756954,0.046201496,0.019027068,AGID_1013,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.43431,117.538,26/08/09,16.3,20,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1014,0.017037609,0.036720873,0.043578105,0.015183006,AGID_1014,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.42094,117.554,26/08/09,13,48,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1015,0.017552602,0.036619806,0.043296828,0.015835392,AGID_1015,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.40728,117.568,26/08/09,9.1,52,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1016,0.017341668,0.036043242,0.041596392,0.01281822,AGID_1016,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.396,117.583,26/08/09,11.5,41,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1017,0.015089214,0.030765151,0.035144083,0.010234622,AGID_1017,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.38714,117.596,26/08/09,8.4,38,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1018,0.014613819,0.029323522,0.031617572,0.007088586,AGID_1018,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37983,117.611,26/08/09,10.7,42,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1019,0.011784254,0.020920134,0.020795892,0.004208323,AGID_1019,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37758,117.634,26/08/09,6.7,54,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1020,0.01348615,0.025494382,0.027217568,0.006112064,AGID_1020,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.89322,117.403,27/08/09,4.1,40,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1021,0.013501151,0.025725907,0.027306329,0.006252675,AGID_1021,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.87383,117.397,27/08/09,3.4,76,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1022,0.012847773,0.023969773,0.023950333,0.004252717,AGID_1022,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.85617,117.389,27/08/09,5.5,52,0.45,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1023,0.016323127,0.031224998,0.032738834,0.007366267,AGID_1023,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82894,117.376,27/08/09,6,8,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1024,0.016180037,0.033688973,0.039431743,0.012007361,AGID_1024,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.77864,117.346,27/08/09,4.8,8,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1025,0.017369921,0.035082818,0.041365918,0.014956281,AGID_1025,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.72175,117.323,27/08/09,7.6,28,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1026,0.020959663,0.042169787,0.049700929,0.017871613,AGID_1026,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.66717,117.305,27/08/09,5,87,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1027,0.014799813,0.02998305,0.035448992,0.012891033,AGID_1027,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.609,117.294,27/08/09,11.5,92,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1028,0.013640038,0.027219893,0.032081901,0.01071694,AGID_1028,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.58217,117.273,27/08/09,8.5,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1029,0.013300263,0.026169081,0.030506737,0.009849554,AGID_1029,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.57342,117.226,27/08/09,6.9,20,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1030,0.012818095,0.024984061,0.028996816,0.009465283,AGID_1030,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.55775,117.184,27/08/09,7.9,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1934,0.010461457,0.021777313,0.011711934,0.007008042,AGID_1934,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,327.1,29.3,0.38,0.177331,South_Africa_NA_NA
AGID_1935,0.01311318,0.022021088,0.011876057,0.005753595,AGID_1935,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,69.6,14.8,1.2,1.12847,South_Africa_NA_NA
AGID_1936,0.00937289,0.018133225,0.00933804,0.020360488,AGID_1936,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1503.3,2533.3,0.61,2.047367,South_Africa_NA_NA
AGID_1937,0.011663092,0.019424701,0.011259754,0.016451502,AGID_1937,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,362.5,37.7,0.73,1.28968,South_Africa_NA_NA
AGID_1938,0.008062741,0.01675313,0.008658822,0.021075653,AGID_1938,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1842.7,10,0.36,1.416345,South_Africa_NA_NA
AGID_1939,0.012242156,0.026239682,0.013652249,0.167593107,AGID_1939,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,13296.7,1033.3,0.21,3.145898,South_Africa_NA_NA
AGID_1940,0.009837576,0.020661281,0.010604161,0.050205695,AGID_1940,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,597.7,300,0.26,1.361073,South_Africa_NA_NA
AGID_1941,0.011214362,0.024281453,0.012745876,0.023960715,AGID_1941,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,74.7,8.3,1.06,0.57575,South_Africa_NA_NA
AGID_1942,0.018313991,0.036534119,0.019210511,0.175527081,AGID_1942,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,5197.7,1466.7,0.16,1.47392,South_Africa_NA_NA
AGID_1943,0.014253783,0.029480553,0.015238628,0.124508726,AGID_1943,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,9616.3,1566.7,0.01,2.263849,South_Africa_NA_NA
AGID_1944,0.007960344,0.01428875,0.007654844,0.009407193,AGID_1944,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,146.4,16.7,1.19,1.476223,South_Africa_NA_NA
AGID_1945,0.009351692,0.018420054,0.009825924,0.028088588,AGID_1945,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,1599.3,5,0.21,1.280468,South_Africa_NA_NA
AGID_1946,0.009491927,0.01818333,0.009779898,0.012170779,AGID_1946,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,3443,500,0.74,1.308104,South_Africa_NA_NA
AGID_1947,0.014964659,0.031219255,0.016520619,0.137235832,AGID_1947,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,11050.3,1833.3,0.02,2.383605,South_Africa_NA_NA
AGID_1948,0.010406512,0.022349918,0.011548038,0.030110634,AGID_1948,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,147.4,25,0.81,1.133076,South_Africa_NA_NA
AGID_1949,0.005291092,0.007901296,0.005024601,0.000672527,AGID_1949,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.77,4.13,2.145,0.538902,South_Africa_NA_NA
AGID_1950,0.005444358,0.008225309,0.004957299,0.000541224,AGID_1950,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.17,2.76,2.23,0.637931,South_Africa_NA_NA
AGID_1951,0.003914575,0.005599293,0.003096412,0.000379506,AGID_1951,NAN,South Africa,South_Africa,-25.453,29.288,NA,8.7,2.84,3.75,0.601083,South_Africa_NA_NA
AGID_1952,0.004136784,0.005725813,0.003255273,0.000479607,AGID_1952,NAN,South Africa,South_Africa,-25.453,29.288,NA,12.5,2.29,3.25,0.548114,South_Africa_NA_NA
AGID_1953,0.003337428,0.006037978,0.003429424,0.000540032,AGID_1953,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,4,2.41,0.495145,South_Africa_NA_NA
AGID_1954,0.003253796,0.005410565,0.002979691,0.000449365,AGID_1954,NAN,South Africa,South_Africa,-25.453,29.288,NA,20.5,3.27,3.4,0.663264,South_Africa_NA_NA
AGID_1955,0.003614324,0.00554925,0.002993609,0.000352504,AGID_1955,NAN,South Africa,South_Africa,-25.453,29.288,NA,23.2,3.55,3.75,0.455994,South_Africa_NA_NA
AGID_1956,0.004733367,0.007930977,0.00524142,0.000641905,AGID_1956,NAN,South Africa,South_Africa,-25.453,29.288,NA,10.3,3.91,2.05,0.665567,South_Africa_NA_NA
AGID_1957,0.007019102,0.010858519,0.008416081,0.000612338,AGID_1957,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,6.58,1.18,0.741566,South_Africa_NA_NA
AGID_1958,0.004265197,0.007471432,0.005668031,0.002289594,AGID_1958,NAN,South Africa,South_Africa,-25.453,29.288,NA,141.87,18.4,0.675,0.683991,South_Africa_NA_NA
AGID_1959,0.001984694,0.005274408,0.003339481,0.001586749,AGID_1959,NAN,South Africa,South_Africa,-25.453,29.288,NA,354.59,19.89,0.61,0.879746,South_Africa_NA_NA
AGID_1960,0.002300801,0.005621811,0.003894757,0.002771131,AGID_1960,NAN,South Africa,South_Africa,-25.453,29.288,NA,250.9,21.2,0.515,0.688597,South_Africa_NA_NA
AGID_1961,0.002853468,0.006058221,0.004377289,0.002604864,AGID_1961,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,22.3,0.54,1.034047,South_Africa_NA_NA
AGID_1962,0.001588427,0.004505118,0.003070587,0.002243483,AGID_1962,NAN,South Africa,South_Africa,-25.453,29.288,NA,350.4,20.1,0.55,0.709324,South_Africa_NA_NA
AGID_1963,0.001722921,0.004435958,0.002999761,0.002488306,AGID_1963,NAN,South Africa,South_Africa,-25.453,29.288,NA,265.6,26.9,0.65,0.960351,South_Africa_NA_NA
AGID_1964,0.001820371,0.004736539,0.003249362,0.00289473,AGID_1964,NAN,South Africa,South_Africa,-25.453,29.288,NA,277.84,20.9,0.375,0.610295,South_Africa_NA_NA
AGID_1965,0.002528006,0.005201826,0.003879498,0.001370364,AGID_1965,NAN,South Africa,South_Africa,-25.453,29.288,NA,109.1,15.6,0.75,0.686294,South_Africa_NA_NA
AGID_1966,0.002466664,0.005605297,0.004010515,0.002384774,AGID_1966,NAN,South Africa,South_Africa,-25.453,29.288,NA,160,22.7,0.73,0.891261,South_Africa_NA_NA
AGID_1967,0.002863384,0.00607853,0.004686332,0.00178509,AGID_1967,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,16.9,0.68,0.62181,South_Africa_NA_NA
AGID_1968,0.003514204,0.005069185,0.002667178,0.000287867,AGID_1968,NAN,South Africa,South_Africa,-25.453,29.288,NA,4.9,2.37,4.475,0.4606,South_Africa_NA_NA
AGID_1969,0.004521286,0.005579264,0.003023946,0.00037171,AGID_1969,NAN,South Africa,South_Africa,-25.453,29.288,NA,4.4,1.49,0.44,0.670173,South_Africa_NA_NA
AGID_1970,0.003104396,0.004085115,0.002046613,0.000201887,AGID_1970,NAN,South Africa,South_Africa,-25.453,29.288,NA,6.4,1.49,4.75,0.488236,South_Africa_NA_NA
AGID_1971,0.003486629,0.00496383,0.002392608,0.000221922,AGID_1971,NAN,South Africa,South_Africa,-25.453,29.288,NA,7.09,1.622,4.6,0.398419,South_Africa_NA_NA
AGID_1972,0.006382335,0.009549149,0.005983834,0.00063987,AGID_1972,NAN,South Africa,South_Africa,-25.453,29.288,NA,2.7,2.7,2.25,0.442176,South_Africa_NA_NA
AGID_1973,0.007061033,0.010513384,0.007566973,0.0008524,AGID_1973,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,4.27,1.55,0.73696,South_Africa_NA_NA
AGID_1974,0.003222669,0.003690679,0.002051302,0.000290202,AGID_1974,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.72,1.03,5.67,0.679385,South_Africa_NA_NA
AGID_1975,0.002801017,0.003014502,0.001709116,0.000232239,AGID_1975,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.54,0.98,6.85,0.405328,South_Africa_NA_NA
AGID_1976,0.002298154,0.002529143,0.001282056,0.000141232,AGID_1976,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,1.13,6.38,0.485933,South_Africa_NA_NA
AGID_1977,0.002509165,0.00288602,0.001403239,0.000154558,AGID_1977,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.96,0.91,6.95,0.635628,South_Africa_NA_NA
AGID_1978,0.002059949,0.002360882,0.001114577,0.00011069,AGID_1978,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.76,0.93,7.05,0.536599,South_Africa_NA_NA
AGID_1979,0.002079149,0.002340425,0.001093736,0.000157654,AGID_1979,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.05,1.75,8.7,0.571144,South_Africa_NA_NA
AGID_1980,0.002042918,0.002895,0.001963732,0.000256397,AGID_1980,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.7,2.37,3.05,0.479024,South_Africa_NA_NA
AGID_1981,0.00201008,0.002830388,0.001948384,0.000219356,AGID_1981,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,1.533,3.45,0.810656,South_Africa_NA_NA
AGID_1982,0.005763351,0.008139618,0.00526305,0.000374204,AGID_1982,NAN,South Africa,South_Africa,-25.453,29.288,NA,5.22,5.1,1.34,0.527387,South_Africa_NA_NA
AGID_1983,0.006269913,0.00986374,0.007295594,0.001170988,AGID_1983,NAN,South Africa,South_Africa,-25.453,29.288,NA,8.3,8.13,1.3,0.469812,South_Africa_NA_NA
AGID_1984,0.004998985,0.006640752,0.004204468,0.000490982,AGID_1984,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.62,2.8,2.39,0.435267,South_Africa_NA_NA
AGID_1985,0.004439499,0.006026692,0.003740189,0.000450355,AGID_1985,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.9,3.07,3.45,0.430661,South_Africa_NA_NA
AGID_1986,0.004956191,0.006653871,0.004100185,0.000508209,AGID_1986,NAN,South Africa,South_Africa,-25.453,29.288,NA,2.8,2.63,2.35,0.375389,South_Africa_NA_NA
AGID_1987,0.015577492,0.024919633,0.022487652,0.00515612,AGID_1987,NAN,South Africa,South_Africa,-34.029,19.209,NA,11.464,17.3,0.625,1.215984,South_Africa_NA_NA
AGID_1988,0.013889912,0.023447653,0.020293113,0.003077309,AGID_1988,NAN,South Africa,South_Africa,-34.029,19.209,NA,5.095111111,12.20444444,0.45,1.460102,South_Africa_NA_NA
AGID_1989,0.013321613,0.020900917,0.018199993,0.003959486,AGID_1989,NAN,South Africa,South_Africa,-34.029,19.209,NA,10.22206667,15.725,0.695,NA,South_Africa_NA_NA
AGID_1990,0.010211702,0.015623685,0.015419461,0.004879007,AGID_1990,NAN,South Africa,South_Africa,-34.029,19.209,NA,26.74933333,NA,0.795,NA,South_Africa_NA_NA
AGID_1991,0.009785862,0.015014742,0.013246899,0.003203857,AGID_1991,NAN,South Africa,South_Africa,-34.029,19.209,NA,17.93160667,14.11666667,0.52,1.858521,South_Africa_NA_NA
AGID_1992,0.011302658,0.019487166,0.020004383,0.00618443,AGID_1992,NAN,South Africa,South_Africa,-34.029,19.209,NA,22.68916667,29.12,0.6,1.741068,South_Africa_NA_NA
AGID_1993,0.011383734,0.018037002,0.014005008,0.002436293,AGID_1993,NAN,South Africa,South_Africa,-34.029,19.209,NA,8.279555556,9.788888889,0.49,1.324225,South_Africa_NA_NA
AGID_1994,0.012642639,0.020983063,0.017714646,0.003246539,AGID_1994,NAN,South Africa,South_Africa,-34.029,19.209,NA,10.3176,12.175,0.725,NA,South_Africa_NA_NA
AGID_1995,0.010855851,0.016021533,0.015988753,0.004960723,AGID_1995,NAN,South Africa,South_Africa,-34.029,19.209,NA,21.25616667,26.32,0.7,NA,South_Africa_NA_NA
AGID_1996,0.008073737,0.013063685,0.011817258,0.0036319,AGID_1996,NAN,South Africa,South_Africa,-34.029,19.209,NA,35.34733333,17.13333333,0.65,1.91149,South_Africa_NA_NA
AGID_2158,0.005291564,0.012227399,0.008309382,0.003338533,AGID_2158,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,91.2,NA,0.260276721,NA,Vietnam2_2017_04
AGID_2159,0.009294544,0.022444881,0.016638927,0.009463582,AGID_2159,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,101.3,NA,0.258246023,NA,Vietnam2_2017_04
AGID_2160,0.005385858,0.01121031,0.007768442,0.006375557,AGID_2160,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,30.3,NA,0.216914748,NA,Vietnam2_2017_04
AGID_2161,0.005631407,0.012282081,0.00790286,0.006823238,AGID_2161,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,30.4,NA,0.252416974,NA,Vietnam2_2017_04
AGID_2162,0.004198158,0.00947161,0.006508593,0.006061428,AGID_2162,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,30.9,NA,0.246,NA,Vietnam2_2017_04
AGID_2163,0.00617039,0.011693556,0.009545323,0.003023739,AGID_2163,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,50.4,NA,0.53421632,NA,Vietnam2_2017_04
AGID_2164,0.005259852,0.010298635,0.008091297,0.002608583,AGID_2164,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,51,NA,0.530094201,NA,Vietnam2_2017_04
AGID_2165,0.009945789,0.023083468,0.016845211,0.009959201,AGID_2165,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,89.4,NA,0.28764,NA,Vietnam2_2017_04
AGID_2166,0.009379139,0.019683717,0.017540415,0.007174555,AGID_2166,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,59.7,NA,0.43655004,NA,Vietnam2_2017_04
AGID_2167,0.008355112,0.016616259,0.013583425,0.005171007,AGID_2167,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,64.9,NA,0.335985592,NA,Vietnam2_2017_04
AGID_2168,0.010042305,0.015818992,0.012291423,0.004732457,AGID_2168,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,82.1,NA,0.283266003,NA,Vietnam2_2017_04
AGID_2169,0.005338654,0.010112997,0.007905615,0.002623567,AGID_2169,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,51.7,NA,0.38264927,NA,Vietnam2_2017_04
AGID_2170,0.007328315,0.013225035,0.009650586,0.003733854,AGID_2170,NAN,Vietnam,Vietnam2,20.968258,105.832333,01/04/17,106.3,NA,0.286054745,NA,Vietnam2_2017_04
AGID_2171,0.01247943,0.022037977,0.016304083,0.0024355,AGID_2171,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,93.8,NA,0.295479295,NA,Vietnam2_2019_03
AGID_2172,0.010071683,0.019516371,0.014227146,0.004396749,AGID_2172,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,94.6,NA,0.277055523,NA,Vietnam2_2019_03
AGID_2173,0.008322171,0.017793037,0.013799841,0.004019683,AGID_2173,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,97.58235223,NA,0.360110426,NA,Vietnam2_2019_03
AGID_2174,0.008106686,0.017653172,0.013747762,0.004349557,AGID_2174,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,92.43221869,NA,0.273625326,NA,Vietnam2_2019_03
AGID_2175,0.008694341,0.017516267,0.013592697,0.004325984,AGID_2175,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,106,NA,0.302991564,NA,Vietnam2_2019_03
AGID_2176,0.007995731,0.016510859,0.012971324,0.002851863,AGID_2176,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,108.3,NA,0.29558921,NA,Vietnam2_2019_03
AGID_2177,0.00628619,0.014550896,0.011199197,0.004150034,AGID_2177,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,115,NA,0.270142045,NA,Vietnam2_2019_03
AGID_2178,0.005627063,0.013928146,0.010652294,0.004816677,AGID_2178,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,97,NA,0.320909546,NA,Vietnam2_2019_03
AGID_2179,0.006838084,0.019659388,0.018940182,0.005409054,AGID_2179,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,91.2,NA,0.397,NA,Vietnam2_2019_03
AGID_2180,0.004998,0.014676359,0.014966981,0.005718586,AGID_2180,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,94,NA,0.405,NA,Vietnam2_2019_03
AGID_2181,0.005211044,0.013589073,0.012270344,0.004591125,AGID_2181,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,80.3,NA,0.41,NA,Vietnam2_2019_03
AGID_2182,0.004347231,0.011232872,0.009195035,0.001497533,AGID_2182,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,108.3,NA,0.294,NA,Vietnam2_2019_03
AGID_2183,0.010071683,0.019516371,0.014227146,0.004396749,AGID_2183,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,96.7,NA,0.277055523,NA,Vietnam2_2019_03
AGID_2184,0.007328315,0.013225035,0.009650586,0.003733854,AGID_2184,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,92.5,NA,0.286054745,NA,Vietnam2_2019_03
AGID_2185,0.005291564,0.012227399,0.008309382,0.003338533,AGID_2185,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,90,NA,0.260276721,NA,Vietnam2_2019_03
AGID_2186,0.009294544,0.022444881,0.016638927,0.009463582,AGID_2186,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,65.9,NA,0.258246023,NA,Vietnam2_2019_03
AGID_2187,0.009945789,0.023083468,0.016845211,0.009959201,AGID_2187,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,85.9,NA,0.28764,NA,Vietnam2_2019_03
AGID_2188,0.005385858,0.01121031,0.007768442,0.006375557,AGID_2188,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,75.2,NA,0.216914748,NA,Vietnam2_2019_03
AGID_2189,0.005631407,0.012282081,0.00790286,0.006823238,AGID_2189,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,80,NA,0.252416974,NA,Vietnam2_2019_03
AGID_2190,0.011880175,0.019975182,0.014511763,0.004615835,AGID_2190,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,84.5,NA,0.371660899,NA,Vietnam2_2019_03
AGID_2191,0.011880175,0.019975182,0.014511763,0.004615835,AGID_2191,NAN,Vietnam,Vietnam2,20.968258,105.832333,21/03/19,78.4,NA,0.371660899,NA,Vietnam2_2019_03
AGID_2192,0.00434342,0.008094255,0.005370457,0.000816201,AGID_2192,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,93,NA,0.31,NA,Vietnam2_2019_04
AGID_2193,0.009003925,0.015925977,0.011254484,0.001439839,AGID_2193,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,97,NA,0.33,NA,Vietnam2_2019_04
AGID_2194,0.003456742,0.008708006,0.005858913,0.00098264,AGID_2194,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,95,NA,0.356666667,NA,Vietnam2_2019_04
AGID_2195,0.007387455,0.011198491,0.007974013,0.002610839,AGID_2195,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,76.7,NA,0.29,NA,Vietnam2_2019_04
AGID_2196,0.007611671,0.015915521,0.012709687,0.003569681,AGID_2196,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,95.5,NA,0.308,NA,Vietnam2_2019_04
AGID_2197,0.006766367,0.013247855,0.010688395,0.002831228,AGID_2197,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,90.5,NA,0.36,NA,Vietnam2_2019_04
AGID_2198,0.004436471,0.014174919,0.012945469,0.006434989,AGID_2198,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,92.3,NA,0.44,NA,Vietnam2_2019_04
AGID_2199,0.010147197,0.016720536,0.012807154,0.002751975,AGID_2199,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,95.7,NA,0.315,NA,Vietnam2_2019_04
AGID_2200,0.005875004,0.011819108,0.009193762,0.001871518,AGID_2200,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,117,NA,0.29,NA,Vietnam2_2019_04
AGID_2201,0.004632327,0.012659571,0.008617246,0.001585089,AGID_2201,NAN,Vietnam,Vietnam2,20.968258,105.832333,19/04/19,113.7,NA,0.215,NA,Vietnam2_2019_04
