station_id,blue (sr-1),green (sr-1),red (sr-1),nir (sr-1),id,organization,region,local,lat,long,date,chla (mgm-3),tss (mgL-1),secchi (m),acdom440 (m-1),local_year_month
AGID_1010,0.024203235,0.044154254,0.050820105,0.019619732,AGID_1010,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.468,117.493,2009-08-26,9.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1011,0.017589987,0.037903326,0.045459651,0.01235674,AGID_1011,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.51242,117.436,2009-08-26,5.2,26,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1012,0.016100226,0.034808861,0.042978585,0.014331757,AGID_1012,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.44678,117.52,2009-08-26,11.9,82,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1013,0.017146893,0.036912962,0.046314434,0.01926059,AGID_1013,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.43431,117.538,2009-08-26,16.3,20,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1014,0.015783342,0.034961472,0.043675376,0.015379402,AGID_1014,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.42094,117.554,2009-08-26,13,48,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1015,0.016321504,0.034914687,0.043394332,0.016026698,AGID_1015,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.40728,117.568,2009-08-26,9.1,52,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1016,0.016114764,0.034459078,0.041667291,0.012998191,AGID_1016,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.396,117.583,2009-08-26,11.5,41,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1017,0.014022224,0.029483214,0.035199192,0.010379855,AGID_1017,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.38714,117.596,2009-08-26,8.4,38,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1018,0.01356897,0.02828696,0.031626714,0.007195232,AGID_1018,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37983,117.611,2009-08-26,10.7,42,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1019,0.011004698,0.020475451,0.020766325,0.004269999,AGID_1019,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.37758,117.634,2009-08-26,6.7,54,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1020,0.012545048,0.024733658,0.027217581,0.006195079,AGID_1020,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.89322,117.403,2009-08-27,4.1,40,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1021,0.012525115,0.024947605,0.027309562,0.006345801,AGID_1021,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.87383,117.397,2009-08-27,3.4,76,0.2,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1022,0.011915799,0.023411291,0.023919177,0.004321288,AGID_1022,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.85617,117.389,2009-08-27,5.5,52,0.45,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1023,0.015184044,0.030284701,0.032726157,0.007482401,AGID_1023,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.82894,117.376,2009-08-27,6,8,0.25,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1024,0.015029389,0.032178515,0.039503264,0.012174435,AGID_1024,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.77864,117.346,2009-08-27,4.8,8,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1025,0.016212256,0.033512853,0.041449101,0.015155343,AGID_1025,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.72175,117.323,2009-08-27,7.6,28,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1026,0.019610279,0.040274244,0.049793153,0.018078099,AGID_1026,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.66717,117.305,2009-08-27,5,87,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1027,0.013797914,0.028653764,0.035517034,0.013064248,AGID_1027,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.609,117.294,2009-08-27,11.5,92,0.1,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1028,0.01271733,0.026049303,0.032146098,0.010867142,AGID_1028,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.58217,117.273,2009-08-27,8.5,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1029,0.012415811,0.025085794,0.030560373,0.009993942,AGID_1029,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.57342,117.226,2009-08-27,6.9,20,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1030,0.011977008,0.023970774,0.029045517,0.009603676,AGID_1030,NAN,Indonesia,Nechad_Matchups_North_Sea,-0.55775,117.184,2009-08-27,7.9,58,0.15,NA,Nechad_Matchups_North_Sea_2009_08
AGID_1934,0.009348838,0.023078955,0.011527925,0.007124708,AGID_1934,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,327.1,29.3,0.38,0.177331,South_Africa_NA_NA
AGID_1935,0.01203704,0.023438457,0.011691555,0.005844709,AGID_1935,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,69.6,14.8,1.2,1.12847,South_Africa_NA_NA
AGID_1936,0.008419066,0.019487239,0.009213467,0.020588867,AGID_1936,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1503.3,2533.3,0.61,2.047367,South_Africa_NA_NA
AGID_1937,0.010786989,0.020722327,0.011139622,0.016700656,AGID_1937,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,362.5,37.7,0.73,1.28968,South_Africa_NA_NA
AGID_1938,0.007132936,0.018023816,0.008547081,0.02139198,AGID_1938,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,1842.7,10,0.36,1.416345,South_Africa_NA_NA
AGID_1939,0.010758778,0.028215201,0.013500939,0.168082954,AGID_1939,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,13296.7,1033.3,0.21,3.145898,South_Africa_NA_NA
AGID_1940,0.008721864,0.022236411,0.010472498,0.050722524,AGID_1940,NAN,South Africa,South_Africa,-25.7552,27.8358,NA,597.7,300,0.26,1.361073,South_Africa_NA_NA
AGID_1941,0.009983653,0.025918295,0.012568159,0.024333848,AGID_1941,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,74.7,8.3,1.06,0.57575,South_Africa_NA_NA
AGID_1942,0.016331741,0.03919224,0.018988362,0.176165344,AGID_1942,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,5197.7,1466.7,0.16,1.47392,South_Africa_NA_NA
AGID_1943,0.012583897,0.031683717,0.01505453,0.124918404,AGID_1943,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,9616.3,1566.7,0.01,2.263849,South_Africa_NA_NA
AGID_1944,0.007178151,0.015305292,0.007547432,0.009506486,AGID_1944,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,146.4,16.7,1.19,1.476223,South_Africa_NA_NA
AGID_1945,0.008352198,0.019761908,0.009710417,0.028379557,AGID_1945,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,1599.3,5,0.21,1.280468,South_Africa_NA_NA
AGID_1946,0.008504827,0.019402006,0.009640448,0.012312534,AGID_1946,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,3443,500,0.74,1.308104,South_Africa_NA_NA
AGID_1947,0.013261399,0.033425668,0.016334837,0.137627847,AGID_1947,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,11050.3,1833.3,0.02,2.383605,South_Africa_NA_NA
AGID_1948,0.009222531,0.023918659,0.011394011,0.030516832,AGID_1948,NAN,South Africa,South_Africa,-25.7479,27.8635,NA,147.4,25,0.81,1.133076,South_Africa_NA_NA
AGID_1949,0.005058812,0.008048748,0.004934926,0.000684552,AGID_1949,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.77,4.13,2.145,0.538902,South_Africa_NA_NA
AGID_1950,0.005147277,0.008443479,0.004859106,0.000550409,AGID_1950,NAN,South Africa,South_Africa,-25.453,29.288,NA,16.17,2.76,2.23,0.637931,South_Africa_NA_NA
AGID_1951,0.003731191,0.005799844,0.003022235,0.000386956,AGID_1951,NAN,South Africa,South_Africa,-25.453,29.288,NA,8.7,2.84,3.75,0.601083,South_Africa_NA_NA
AGID_1952,0.003962202,0.005921182,0.003181764,0.000487883,AGID_1952,NAN,South Africa,South_Africa,-25.453,29.288,NA,12.5,2.29,3.25,0.548114,South_Africa_NA_NA
AGID_1953,0.003161227,0.006129444,0.0033427,0.000549902,AGID_1953,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,4,2.41,0.495145,South_Africa_NA_NA
AGID_1954,0.003067181,0.005553018,0.002904466,0.000456359,AGID_1954,NAN,South Africa,South_Africa,-25.453,29.288,NA,20.5,3.27,3.4,0.663264,South_Africa_NA_NA
AGID_1955,0.003415671,0.005736292,0.002917113,0.0003599,AGID_1955,NAN,South Africa,South_Africa,-25.453,29.288,NA,23.2,3.55,3.75,0.455994,South_Africa_NA_NA
AGID_1956,0.004456435,0.008019434,0.005158608,0.00065443,AGID_1956,NAN,South Africa,South_Africa,-25.453,29.288,NA,10.3,3.91,2.05,0.665567,South_Africa_NA_NA
AGID_1957,0.006645134,0.010898446,0.008339114,0.00060417,AGID_1957,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,6.58,1.18,0.741566,South_Africa_NA_NA
AGID_1958,0.004157146,0.00730426,0.005599131,0.002331687,AGID_1958,NAN,South Africa,South_Africa,-25.453,29.288,NA,141.87,18.4,0.675,0.683991,South_Africa_NA_NA
AGID_1959,0.001899334,0.005091863,0.00324356,0.001589513,AGID_1959,NAN,South Africa,South_Africa,-25.453,29.288,NA,354.59,19.89,0.61,0.879746,South_Africa_NA_NA
AGID_1960,0.002201835,0.005412289,0.003805284,0.002827895,AGID_1960,NAN,South Africa,South_Africa,-25.453,29.288,NA,250.9,21.2,0.515,0.688597,South_Africa_NA_NA
AGID_1961,0.002748165,0.005866488,0.004298948,0.002653995,AGID_1961,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,22.3,0.54,1.034047,South_Africa_NA_NA
AGID_1962,0.001491023,0.00432323,0.002993209,0.002289444,AGID_1962,NAN,South Africa,South_Africa,-25.453,29.288,NA,350.4,20.1,0.55,0.709324,South_Africa_NA_NA
AGID_1963,0.001653702,0.004259775,0.002920498,0.002537823,AGID_1963,NAN,South Africa,South_Africa,-25.453,29.288,NA,265.6,26.9,0.65,0.960351,South_Africa_NA_NA
AGID_1964,0.001737013,0.004545146,0.003168776,0.002955088,AGID_1964,NAN,South Africa,South_Africa,-25.453,29.288,NA,277.84,20.9,0.375,0.610295,South_Africa_NA_NA
AGID_1965,0.002401833,0.005075756,0.003827155,0.001395709,AGID_1965,NAN,South Africa,South_Africa,-25.453,29.288,NA,109.1,15.6,0.75,0.686294,South_Africa_NA_NA
AGID_1966,0.002363671,0.005417646,0.003936235,0.002429839,AGID_1966,NAN,South Africa,South_Africa,-25.453,29.288,NA,160,22.7,0.73,0.891261,South_Africa_NA_NA
AGID_1967,0.002710187,0.005904129,0.004629365,0.00182091,AGID_1967,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,16.9,0.68,0.62181,South_Africa_NA_NA
AGID_1968,0.00330782,0.005289879,0.002599171,0.000293278,AGID_1968,NAN,South Africa,South_Africa,-25.453,29.288,NA,4.9,2.37,4.475,0.4606,South_Africa_NA_NA
AGID_1969,0.004321814,0.005856743,0.00295564,0.00037801,AGID_1969,NAN,South Africa,South_Africa,-25.453,29.288,NA,4.4,1.49,0.44,0.670173,South_Africa_NA_NA
AGID_1970,0.002932398,0.004303904,0.001992901,0.000205764,AGID_1970,NAN,South Africa,South_Africa,-25.453,29.288,NA,6.4,1.49,4.75,0.488236,South_Africa_NA_NA
AGID_1971,0.003264914,0.00522414,0.002322836,0.000226846,AGID_1971,NAN,South Africa,South_Africa,-25.453,29.288,NA,7.09,1.622,4.6,0.398419,South_Africa_NA_NA
AGID_1972,0.005964069,0.009820181,0.005879064,0.000651514,AGID_1972,NAN,South Africa,South_Africa,-25.453,29.288,NA,2.7,2.7,2.25,0.442176,South_Africa_NA_NA
AGID_1973,0.006677632,0.010655305,0.007476201,0.000868532,AGID_1973,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,4.27,1.55,0.73696,South_Africa_NA_NA
AGID_1974,0.003110812,0.003876201,0.002005449,0.000294198,AGID_1974,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.72,1.03,5.67,0.679385,South_Africa_NA_NA
AGID_1975,0.002731803,0.003165425,0.001674577,0.000236473,AGID_1975,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.54,0.98,6.85,0.405328,South_Africa_NA_NA
AGID_1976,0.002205974,0.002686277,0.001250045,0.000145066,AGID_1976,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,1.13,6.38,0.485933,South_Africa_NA_NA
AGID_1977,0.002383549,0.003071688,0.001363974,0.000156844,AGID_1977,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.96,0.91,6.95,0.635628,South_Africa_NA_NA
AGID_1978,0.001950221,0.002521507,0.00108358,0.000113127,AGID_1978,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.76,0.93,7.05,0.536599,South_Africa_NA_NA
AGID_1979,0.001974317,0.002503273,0.001063575,0.000159857,AGID_1979,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.05,1.75,8.7,0.571144,South_Africa_NA_NA
AGID_1980,0.001943925,0.002955128,0.001934287,0.000261235,AGID_1980,NAN,South Africa,South_Africa,-25.453,29.288,NA,0.7,2.37,3.05,0.479024,South_Africa_NA_NA
AGID_1981,0.001902947,0.002890897,0.001920233,0.000223905,AGID_1981,NAN,South Africa,South_Africa,-25.453,29.288,NA,NA,1.533,3.45,0.810656,South_Africa_NA_NA
AGID_1982,0.005466016,0.008366966,0.005181263,0.000328304,AGID_1982,NAN,South Africa,South_Africa,-25.453,29.288,NA,5.22,5.1,1.34,0.527387,South_Africa_NA_NA
AGID_1983,0.005942335,0.009928909,0.007221626,0.001191294,AGID_1983,NAN,South Africa,South_Africa,-25.453,29.288,NA,8.3,8.13,1.3,0.469812,South_Africa_NA_NA
AGID_1984,0.004748416,0.006865742,0.004135501,0.000500777,AGID_1984,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.62,2.8,2.39,0.435267,South_Africa_NA_NA
AGID_1985,0.004191796,0.006240766,0.003675965,0.000458357,AGID_1985,NAN,South Africa,South_Africa,-25.453,29.288,NA,1.9,3.07,3.45,0.430661,South_Africa_NA_NA
AGID_1986,0.004690743,0.006896076,0.004028664,0.000517245,AGID_1986,NAN,South Africa,South_Africa,-25.453,29.288,NA,2.8,2.63,2.35,0.375389,South_Africa_NA_NA
AGID_1987,0.014862911,0.024699818,0.022410208,0.005246193,AGID_1987,NAN,South Africa,South_Africa,-34.029,19.209,NA,11.464,17.3,0.625,1.215984,South_Africa_NA_NA
AGID_1988,0.013092736,0.023314975,0.020199883,0.003132021,AGID_1988,NAN,South Africa,South_Africa,-34.029,19.209,NA,5.095111111,12.20444444,0.45,1.460102,South_Africa_NA_NA
AGID_1989,0.012672091,0.020826433,0.018119425,0.004029136,AGID_1989,NAN,South Africa,South_Africa,-34.029,19.209,NA,10.22206667,15.725,0.695,NA,South_Africa_NA_NA
AGID_1990,0.009854606,0.015324543,0.015426437,0.004961089,AGID_1990,NAN,South Africa,South_Africa,-34.029,19.209,NA,26.74933333,NA,0.795,NA,South_Africa_NA_NA
AGID_1991,0.00939889,0.014912508,0.013202852,0.003259026,AGID_1991,NAN,South Africa,South_Africa,-34.029,19.209,NA,17.93160667,14.11666667,0.52,1.858521,South_Africa_NA_NA
AGID_1992,0.010721726,0.018968162,0.020035488,0.006290504,AGID_1992,NAN,South Africa,South_Africa,-34.029,19.209,NA,22.68916667,29.12,0.6,1.741068,South_Africa_NA_NA
AGID_1993,0.010803764,0.018175058,0.0138866,0.002477751,AGID_1993,NAN,South Africa,South_Africa,-34.029,19.209,NA,8.279555556,9.788888889,0.49,1.324225,South_Africa_NA_NA
AGID_1994,0.011943198,0.020933519,0.017616306,0.003297571,AGID_1994,NAN,South Africa,South_Africa,-34.029,19.209,NA,10.3176,12.175,0.725,NA,South_Africa_NA_NA
AGID_1995,0.010513808,0.015735798,0.015995967,0.005042959,AGID_1995,NAN,South Africa,South_Africa,-34.029,19.209,NA,21.25616667,26.32,0.7,NA,South_Africa_NA_NA
AGID_1996,0.00775524,0.012852562,0.01179504,0.003686808,AGID_1996,NAN,South Africa,South_Africa,-34.029,19.209,NA,35.34733333,17.13333333,0.65,1.91149,South_Africa_NA_NA
AGID_2158,0.004598782,0.012356202,0.008176518,0.003420126,AGID_2158,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,91.2,NA,0.260276721,NA,Vietnam2_2017_04
AGID_2159,0.008074917,0.022449233,0.01642019,0.009759731,AGID_2159,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,101.3,NA,0.258246023,NA,Vietnam2_2017_04
AGID_2160,0.004780653,0.01135041,0.007661507,0.00656734,AGID_2160,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.3,NA,0.216914748,NA,Vietnam2_2017_04
AGID_2161,0.00492179,0.012553067,0.007768357,0.007031407,AGID_2161,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.4,NA,0.252416974,NA,Vietnam2_2017_04
AGID_2162,0.003643308,0.009565011,0.006418668,0.006239352,AGID_2162,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,30.9,NA,0.246,NA,Vietnam2_2017_04
AGID_2163,0.005472748,0.011699813,0.009487902,0.003104019,AGID_2163,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,50.4,NA,0.53421632,NA,Vietnam2_2017_04
AGID_2164,0.004611808,0.010335397,0.008032346,0.002672291,AGID_2164,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,51,NA,0.530094201,NA,Vietnam2_2017_04
AGID_2165,0.008716643,0.023188341,0.016618038,0.010255679,AGID_2165,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,89.4,NA,0.28764,NA,Vietnam2_2017_04
AGID_2166,0.008266113,0.019512549,0.017467797,0.007406896,AGID_2166,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,59.7,NA,0.43655004,NA,Vietnam2_2017_04
AGID_2167,0.00739944,0.01662858,0.013487583,0.005324387,AGID_2167,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,64.9,NA,0.335985592,NA,Vietnam2_2017_04
AGID_2168,0.009366225,0.015998853,0.012182735,0.004865159,AGID_2168,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,82.1,NA,0.283266003,NA,Vietnam2_2017_04
AGID_2169,0.004720345,0.010162599,0.007845447,0.002688284,AGID_2169,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,51.7,NA,0.38264927,NA,Vietnam2_2017_04
AGID_2170,0.006729497,0.013366702,0.009528689,0.003834315,AGID_2170,NAN,Vietnam,Vietnam2,20.968258,105.832333,2017-04-01,106.3,NA,0.286054745,NA,Vietnam2_2017_04
AGID_2171,0.011543457,0.022272341,0.016120134,0.002515484,AGID_2171,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,93.8,NA,0.295479295,NA,Vietnam2_2019_03
AGID_2172,0.009109951,0.019706218,0.014052281,0.004507536,AGID_2172,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,94.6,NA,0.277055523,NA,Vietnam2_2019_03
AGID_2173,0.007488292,0.017797365,0.013648579,0.004125637,AGID_2173,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,97.58235223,NA,0.360110426,NA,Vietnam2_2019_03
AGID_2174,0.007273827,0.017644146,0.013598534,0.004460992,AGID_2174,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,92.43221869,NA,0.273625326,NA,Vietnam2_2019_03
AGID_2175,0.007927084,0.017538761,0.013449898,0.004438124,AGID_2175,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,106,NA,0.302991564,NA,Vietnam2_2019_03
AGID_2176,0.00723152,0.016491458,0.012848128,0.002939748,AGID_2176,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,108.3,NA,0.29558921,NA,Vietnam2_2019_03
AGID_2177,0.005552145,0.01452682,0.011075543,0.004252455,AGID_2177,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,115,NA,0.270142045,NA,Vietnam2_2019_03
AGID_2178,0.00489648,0.013887206,0.010523998,0.004934419,AGID_2178,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,97,NA,0.320909546,NA,Vietnam2_2019_03
AGID_2179,0.005867105,0.018998228,0.018890956,0.005566643,AGID_2179,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,91.2,NA,0.397,NA,Vietnam2_2019_03
AGID_2180,0.004303887,0.014047582,0.014955007,0.005880888,AGID_2180,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,94,NA,0.405,NA,Vietnam2_2019_03
AGID_2181,0.004552138,0.013258276,0.012197339,0.004708711,AGID_2181,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,80.3,NA,0.41,NA,Vietnam2_2019_03
AGID_2182,0.00375202,0.011084308,0.009114623,0.001543221,AGID_2182,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,108.3,NA,0.294,NA,Vietnam2_2019_03
AGID_2183,0.009109951,0.019706218,0.014052281,0.004507536,AGID_2183,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,96.7,NA,0.277055523,NA,Vietnam2_2019_03
AGID_2184,0.006729497,0.013366702,0.009528689,0.003834315,AGID_2184,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,92.5,NA,0.286054745,NA,Vietnam2_2019_03
AGID_2185,0.004598782,0.012356202,0.008176518,0.003420126,AGID_2185,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,90,NA,0.260276721,NA,Vietnam2_2019_03
AGID_2186,0.008074917,0.022449233,0.01642019,0.009759731,AGID_2186,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,65.9,NA,0.258246023,NA,Vietnam2_2019_03
AGID_2187,0.008716643,0.023188341,0.016618038,0.010255679,AGID_2187,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,85.9,NA,0.28764,NA,Vietnam2_2019_03
AGID_2188,0.004780653,0.01135041,0.007661507,0.00656734,AGID_2188,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,75.2,NA,0.216914748,NA,Vietnam2_2019_03
AGID_2189,0.00492179,0.012553067,0.007768357,0.007031407,AGID_2189,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,80,NA,0.252416974,NA,Vietnam2_2019_03
AGID_2190,0.011076258,0.020239671,0.014332011,0.004733013,AGID_2190,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,84.5,NA,0.371660899,NA,Vietnam2_2019_03
AGID_2191,0.011076258,0.020239671,0.014332011,0.004733013,AGID_2191,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-03-21,78.4,NA,0.371660899,NA,Vietnam2_2019_03
AGID_2192,0.003957105,0.008411371,0.00528568,0.000844781,AGID_2192,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,93,NA,0.31,NA,Vietnam2_2019_04
AGID_2193,0.008361788,0.016278264,0.011107313,0.00148637,AGID_2193,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,97,NA,0.33,NA,Vietnam2_2019_04
AGID_2194,0.002924724,0.00897453,0.005757142,0.001016898,AGID_2194,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,95,NA,0.356666667,NA,Vietnam2_2019_04
AGID_2195,0.00696913,0.011511588,0.00787033,0.002679565,AGID_2195,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,76.7,NA,0.29,NA,Vietnam2_2019_04
AGID_2196,0.006913626,0.015916597,0.012590946,0.003662108,AGID_2196,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,95.5,NA,0.308,NA,Vietnam2_2019_04
AGID_2197,0.006229786,0.013251545,0.010582356,0.002903817,AGID_2197,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,90.5,NA,0.36,NA,Vietnam2_2019_04
AGID_2198,0.003717774,0.013914379,0.012864494,0.00659685,AGID_2198,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,92.3,NA,0.44,NA,Vietnam2_2019_04
AGID_2199,0.009307242,0.0168844,0.012680577,0.002835074,AGID_2199,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,95.7,NA,0.315,NA,Vietnam2_2019_04
AGID_2200,0.005367332,0.011861425,0.009105237,0.001926967,AGID_2200,NAN,Vietnam,Vietnam2,20.968258,105.832333,2019-04-19,117,NA,0.29,NA,Vietnam2_2019_04
